Living Arrangements,Health,Education,Deprivation,Digital Exclusion,Transport Access,Car Access,Public Transport Access
0.59692264,0.23977524,0.4753774,0.061957754,0.7876121,0.50690466,0.21055964,0.8485034
0.7585223,0.28858402,0.6044584,0.21695979,0.9171961,0.57115924,0.37707266,0.8046027
0.8257309,0.21727876,0.5319967,0.35258657,1,0.5790854,0.59335184,0.60344845
0.64835554,0.45635077,0.7802008,0.46453246,1,0.689045,0.67206246,0.7345655
0.35618436,0.92238945,0.9516589,0.5334223,0.6450691,0.38688582,0.80561244,0.024427652
0.21503696,0.3982017,0.8275736,0.38272586,0.29519182,0.5883594,0.7911829,0.42331415
0.65953976,0.13339971,0.4753332,0.0425825,0.63211083,0.5436972,0.32386,0.8054115
0.7074466,0.34248066,0.52249426,0.11577791,0.70986104,0.57734615,0.44403356,0.74944776
0.4331987,0.10778612,0.45265672,0.06841618,0.34702557,0.34621677,0.07159856,0.6808358
0.3376828,0.4690062,0.6239331,0.44515723,0.7487366,0.6893949,0.59638417,0.8109114
0.4299665,0.1936801,0.3756783,0.17605649,0.5932353,0.7873072,0.5941344,1
0.60185623,0.62508893,0.7895485,0.87787133,0.70986104,0.81623495,0.94509786,0.7042371
0.63076615,0.29718402,0.42507938,0.13730596,0.7616948,0.43329647,0.49705356,0.4215485
0.79829824,0.15371121,0.55072707,0.1136251,0.7228201,0.5360357,0.4826427,0.63200897
0.44760728,0.84216547,0.7727118,0.55279756,0.8912788,0.5709719,0.65792185,0.523396
0.3033248,0.74671185,1,0.4731437,0.6061944,0.71751446,0.82553893,0.63541496
0.21519172,0.8945174,0.9820291,0.9941228,0.4895686,0.7522922,0.8521076,0.6752101
1,0.37466574,0.40840903,0.18251488,0.8912788,0.688365,0.5337684,0.8715619
0.67738223,0.426219,0.9234917,0.4666853,0.96902984,0.6247737,0.80561244,0.47837126
0.3244166,0.43448097,0.8636234,0.49897742,0.54140234,0.77044284,0.74328905,0.81866425
0.33617797,0.10081715,0,0.001679192,0.21744162,0.38957536,0.14803796,0.6871344
0,0,1,0.292308,0,0.47595283,1,0
0.6184132,0.9416799,1,0.636757,0.9171961,0.8481255,0.91227776,0.79791164
0.37762257,0.28630465,0.58730304,0.3181417,0.4118176,0.5039932,0.49367213,0.5598352
0.7527804,0.085253865,0.22294565,0.13084756,0.8005703,0.4283033,0.0537516,0.85532236
0.41844752,0,0,0.018901635,0.39885932,0.38574937,0.16827102,0.6596005
0.3547571,0.1340421,0.09289115,0.19327894,0.37294286,0.56536067,0.24160583,0.92900443
0.58267075,0.468615,0.03906055,0.2557103,0.4247766,0.47173822,0.26759693,0.7243606
0.10633531,0.37025997,1,0.292308,0,0.78470534,0.5891694,1
0.2952008,1,0.7060216,0.8025231,0.4895686,0.91395015,1,0.8357976
0.17961982,0.30248627,0.6130647,0.6647435,0.54140234,0.89087164,0.94509786,0.8466607
0.7188913,0.07990522,0.11747161,0.001679192,0.5025269,0.12683083,0.002175986,0.3316207
0.007937497,0.35544434,0.58619213,0.69488275,0.12673312,0.9712287,0.94509786,1
0.001890081,0.19057287,0.52836114,0.34182253,0.048982143,0.44683504,0.59638417,0.34805256
0.14153615,0.74871886,1,1,0.4247766,1,1,1
0.8470404,0.43787378,0.25686038,0.17605649,0.7746531,0.6008537,0.57803077,0.6603081
0.39305034,0.5853226,0.6914762,0.48390776,0.8653623,0.8609004,0.8731054,0.8614613
0.76477027,0.25261876,0.5282107,0.09640265,1,0.4955785,0.37870225,0.6587479
0.8549707,0.54290825,0.42789418,0.2858496,0.63211083,0.58619785,0.60236216,0.6080102
0.5966042,0.4208685,0.6957767,0.3956427,0.8912788,0.6327011,0.5583427,0.7407683
0.47734806,0.13859728,0.15181036,0,0.5673188,0.57251793,0.18426794,1
0.65939987,0.22023265,0.40033382,0.22557102,0.5802771,0.58872676,0.4248547,0.79034334
0.883049,0.55228066,0.698146,0.4666853,0.9301543,0.73972994,0.7090456,0.7943007
0.3489227,0.18950918,0.38433254,0.19543174,0.29519182,0.5995892,0.33136174,0.9045644
0.25596374,0.9393175,0.61611426,0.33536413,0.23039985,0.6536121,0.64947194,0.689542
0.2718553,0.4764387,0.81403464,0.5183527,0.81352854,0.7423525,0.8679358,0.6404149
0.0779146,0.3779355,0.6702273,0.53988075,0.25631714,0.42390296,0.80561244,0.0950647
0.36567733,0.24152511,0.50985307,0.15022282,0.6709863,0.5770191,0.4328057,0.7600516
0.49492612,0.23251458,0.5328637,0.15668122,0.5673188,0.7011661,0.5373711,0.89238644
0.5370296,0.7334507,0.7371025,0.7185637,1,0.7481248,0.97507,0.54429543
0.24198028,0.60192263,0.6991111,0.4774493,0.5932353,0.78256553,0.9496712,0.63541496
0.2973841,1,0.9379782,0.85849607,0.54140234,0.6291514,0.7219211,0.57041633
0.22974071,0.3095864,0.5390642,0.45376846,0.4895686,0.59455806,0.4328057,0.79351985
0,0.32778847,0.032020275,0.049040925,0,0.41794276,0.88930374,0
0.586704,0.7702822,0.70699847,0.3267529,0.51548505,0.44393554,0.439463,0.4994408
0.044262152,0.8683347,0.72516936,1,0.73577833,0.55330336,0.90217924,0.24542308
0.5674253,0.43647897,0.586882,0.31168327,0.6580273,0.513225,0.41740584,0.6537179
