lsoa21cd,loneliness_index_norm,age_uk_index_norm
E01033016,0,4.775247
E01011549,0.03228874,9.026509
E01033034,0.09721003,100
E01011266,1.6601394,8.617699
E01033015,2.566229,12.975579
E01033011,3.660673,44.193058
E01011311,4.0841303,3.360403
E01011458,4.6031585,11.831626
E01011702,5.9208,0.7156128
E01011386,7.3299603,23.390171
E01032876,7.403893,28.651138
E01011654,7.425773,14.656546
E01011454,8.185833,26.040115
E01011685,9.248946,11.05886
E01011576,9.319114,7.3319235
E01011706,9.763721,1.5735497
E01011561,11.028567,24.944372
E01011641,11.299383,22.717724
E01011692,11.545261,31.988148
E01032491,12.121261,25.387474
E01011713,12.542303,2.2236817
E01035054,13.363621,42.559025
E01035051,14.361581,53.72272
E01011694,14.656119,34.346985
E01011650,14.746921,20.396597
E01011526,15.312322,25.144875
E01011649,15.459723,8.798285
E01011398,15.607076,16.50678
E01011353,15.878049,31.56949
E01011712,16.55131,24.416212
E01011270,16.855795,0
E01035040,17.119358,49.3675
E01011514,17.272165,25.81057
E01011551,17.470455,36.723557
E01011496,17.511465,14.528823
E01011564,17.771868,16.655743
E01011380,17.902992,15.480624
E01011464,18.20298,50.848484
E01032503,18.48956,12.91416
E01011442,18.736166,43.274696
E01011280,18.751326,14.02729
E01033010,19.075853,23.225395
E01011590,19.191507,8.330245
E01011381,19.493216,21.073105
E01033008,19.49366,69.338
E01011567,19.719257,23.898525
E01011376,19.881903,14.464415
E01011708,20.172356,14.536855
E01011508,20.31971,41.724293
E01011385,20.430021,23.327267
E01035049,20.791445,42.228973
E01011554,21.00688,18.236092
E01011441,21.693382,46.631527
E01011637,22.141577,26.527552
E01011642,22.157446,31.188515
E01011535,22.456812,21.335278
E01011593,22.516518,13.657766
E01011734,22.707916,27.214369
E01011697,22.909386,28.98192
E01011550,23.08625,27.400705
E01011555,23.365538,7.066372
E01035046,23.37268,83.3391
E01011278,23.462168,22.776041
E01035044,23.475943,40.40269
E01011395,23.521517,27.11325
E01011715,23.718512,20.469105
E01011452,23.98366,8.767051
E01011684,24.103579,36.13711
E01011515,24.204844,23.936491
E01011687,24.881449,23.228796
E01011443,24.930567,38.071953
E01011693,25.038124,35.607517
E01011562,25.161684,14.742424
E01011411,25.691355,28.588306
E01011457,25.893831,10.124353
E01011710,25.957466,33.500343
E01011271,25.985899,15.232457
E01011583,25.9877,26.829082
E01011297,26.065662,18.260323
E01032490,26.165855,30.386772
E01011306,26.410065,23.331604
E01011272,26.451906,9.581592
E01011699,26.595533,14.704321
E01011688,26.685566,26.434507
E01011678,26.750809,54.757755
E01032504,26.780684,16.22989
E01011418,27.273539,30.322319
E01011488,27.306566,53.44026
E01011419,27.433405,13.150233
E01011595,27.806515,27.851566
E01011455,27.878752,4.7037883
E01011516,27.975441,34.407654
E01011565,27.982197,23.34082
E01011513,28.107489,31.849644
E01011528,28.17886,36.097668
E01011570,28.320429,19.172037
E01011517,28.354534,42.260273
E01011696,28.355806,15.410352
E01011579,28.581482,29.336044
E01032488,28.751356,18.700163
E01011277,28.78091,31.529516
E01032501,28.849987,16.535961
E01011716,28.855562,19.747744
E01011573,28.933048,20.954782
E01011413,29.032213,30.918901
E01011589,29.04341,37.71802
E01011512,29.06467,38.192814
E01011591,29.159721,22.102821
E01011630,29.195314,23.59608
E01011534,29.416641,35.126358
E01011350,29.449394,31.982338
E01011701,29.457203,22.70431
E01011727,29.471088,29.55327
E01011588,29.728237,28.418032
E01011414,29.880138,12.38057
E01011584,29.890388,27.025524
E01011572,30.037884,27.411726
E01011603,30.291626,29.253769
E01011563,30.328045,13.443232
E01011529,30.538229,37.449825
E01011653,30.93915,43.09794
E01035041,30.94903,49.3675
E01032499,31.071478,28.512785
E01011435,31.116974,36.06894
E01011446,31.337795,56.326042
E01011401,31.487503,18.512459
E01035053,31.54389,44.72845
E01011566,31.597265,26.896181
E01011521,31.697556,27.910498
E01011329,31.89201,24.308136
E01011645,31.998491,50.865532
E01011451,32.078667,49.226032
E01011459,32.20578,30.438631
E01011652,32.237537,29.90064
E01011613,32.32484,46.74637
E01011651,32.470303,37.726097
E01011305,32.675823,32.107517
E01035045,32.700603,40.40269
E01011480,32.818756,34.380047
