Education,Car Access,Deprivation,Living Arrangements,Digital Exclusion,Health,Public Transport Access
0.42096218,0.39449543,0.06,0.1397436,0.923,0.113597244,20.618557
0.4852941,0.4939759,0.132,0.17073171,0.913,0.124542125,25.735294
0.44918033,0.6231884,0.195,0.18361954,0.897,0.108552635,49.18033
0.6923077,0.7826087,0.53837,0.080617495,0.946,0.27826086,8.5470085
0.57288134,0.67021275,0.247,0.1496063,0.902,0.16216215,33.898304
0.65833336,0.75,0.279,0.09357998,0.934,0.26666668,116.666664
0.5964912,0.7413793,0.209,0.06651376,0.961,0.1491228,70.17544
0.42094016,0.46218488,0.051,0.15175097,0.935,0.08974359,25.641026
0.4049217,0.43382353,0.092,0.13627255,0.94,0.078299776,64.87696
0.44444445,0.5339806,0.085,0.1609375,0.929,0.13662791,32.163742
0.40963855,0.3114754,0.063,0.10834814,0.957,0.084,40.16064
0.495,0.625,0.238,0.09003215,0.926,0.165,25
0.37127373,0.6236559,0.113,0.10772834,0.938,0.10326087,2.7100272
0.5775401,0.8333333,0.439,0.14068966,0.929,0.2,37.433155
0.39589444,0.56565654,0.095,0.14623338,0.925,0.1264706,70.38123
0.4585153,0.557047,0.084,0.17835909,0.928,0.09429824,45.85153
0.56914896,0.6617647,0.288,0.11111111,0.915,0.24867725,58.51064
0.71022725,0.7619048,0.251,0.08344371,0.937,0.22727273,45.454548
0.67346936,0.7777778,0.493,0.06654344,0.946,0.26041666,40.816326
0.3875862,0.58759123,0.116,0.2399651,0.915,0.1438451,17.931034
0.6442953,0.75,0.248,0.15517241,0.909,0.1554054,63.75839
0.5858896,0.6,0.158,0.0931677,0.951,0.1595092,36.80982
0.61445785,0.71276593,0.263,0.08748824,0.942,0.15725806,24.096384
0.41877255,0.5765766,0.195,0.14624506,0.931,0.16187051,39.711193
0.28444445,0.39130434,0.051,0.12906846,0.941,0.053452116,11.111112
0.41666666,0.2777778,0.084,0.12747875,0.949,0.079617836,57.692307
0.7007874,0.75,0.333,0.118694365,0.919,0.31906614,23.622047
0.45,0.8018018,0.431,0.12197802,0.923,0.16742082,36.363636
0.471831,0.5607477,0.08,0.13161132,0.93,0.12676056,44.600937
0.3564669,0.4861111,0.054,0.111801244,0.94,0.07836991,25.236593
0.43365696,0.525,0.09,0.10748299,0.948,0.106796116,38.834953
0.1704918,0.4090909,0.071,0.108333334,0.956,0.077419356,42.62295
0.29357797,0.42028984,0.166,0.1078125,0.95,0.12785389,27.522936
0.24657534,0.37634408,0.039,0.15268457,0.937,0.07336956,2.739726
0.5721925,0.77922076,0.337,0.10650069,0.958,0.18716578,42.78075
0.24535316,0.40689656,0.069,0.1713948,0.926,0.08921933,27.88104
0.51229507,0.63461536,0.156,0.089810014,0.959,0.11885246,16.393442
0.20704846,0.22093023,0.038,0.121297605,0.954,0.05054945,35.24229
0.35416666,0.56565654,0.092,0.12807244,0.939,0.09947644,41.666668
0.31034482,0.4025974,0.035,0.13253012,0.943,0.078125,56.42633
0.3994638,0.44,0.079,0.16449511,0.91,0.09358289,53.619305
