ATCOCode,NaptanCode,PlateCode,CommonName,Landmark,Street,Indicator,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,Town,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
450010001,45010001,45010001,Helston Road,,Bodmin Road,,N,E0033172,Middleton,Leeds,Middleton,428982,428479,-1.561961705,53.751877786685149,BCT,MKD,OTH,active
450010002,45010002,45010002,Padstow Gardens,,Bodmin Road,,NW,E0033172,Middleton,Leeds,Middleton,429117,428112,-1.559948921,53.748571783894725,BCT,MKD,OTH,active
450010003,45010003,45010003,Helston Walk,Unknown,Bodmin Road,,N,E0033172,Middleton,Leeds,Middleton,429286,427871,-1.55740904,53.746396303309489,BCT,MKD,OTH,active
450010004,45010004,45010004,Bodmin Crescent,,Bodmin Crescent,at,SW,E0033172,Middleton,Leeds,Middleton,429447,427727,-1.554981511,53.745093031925158,BCT,MKD,OTH,active
450010005,45010005,45010005,Bodmin Road,Middleton Park Golf Course,Ring Road Beeston Park,,S,E0033172,Middleton,Leeds,Middleton,429160,428503,-1.559260132,53.752083604420122,BCT,MKD,OTH,active
450010006,45010006,45010006,Bodmin Road,Middleton Park Golf Course,Ring Road Beeston Park,,N,E0033172,Middleton,Leeds,Middleton,429108,428625,-1.56003725,53.753183006037283,BCT,MKD,OTH,active
450010009,45010009,45010009,Middleton Centre C,Middleton Shopping Centre,St Georges Road,,N,E0033172,Middleton,Leeds,Middleton,431001,428165,-1.531375665,53.748939913400633,BCT,MKD,TIP,active
450010010,45010010,45010010,Middleton Centre A,Middleton Shopping Centre,Ring Road Middleton,,W,E0033172,Middleton,Leeds,Middleton,430831,428181,-1.533951884,53.749093761820333,BCT,MKD,TIP,active
450010011,45010011,45010011,Lingwell Road,,Middleton Park Road,,W,E0033172,Middleton,Leeds,Middleton,430277,428089,-1.542361531,53.748299238922172,BCT,MKD,OTH,active
450010012,45010012,45010012,Middleton Pk Circus,Parade of Shops,Middleton Park Circus,,SW,E0033172,Middleton,Leeds,Middleton,429937,428029,-1.547522872,53.747779535240554,BCT,MKD,TIP,active
450010013,45010013,45010013,Throstle Lane,Middleton Primary School,Middleton Park Avenue,,N,E0033172,Middleton,Leeds,Middleton,429924,427416,-1.54777912,53.742270784933666,BCT,MKD,OTH,active
450010015,45010015,45010015,Sissons Terrace Throstle Ln,,Sissons Terrace,at,S,E0033172,Middleton,Leeds,Middleton,429600,427420,-1.552690975,53.742325158326466,BCT,MKD,OTH,active
450010016,45010016,45010016,Sissons Lane,Playing Fields,Acre Road,,W,E0033172,Middleton,Leeds,Middleton,429774,427577,-1.550037854,53.743726368323024,BCT,MKD,OTH,active
450010017,45010017,45010017,Middleton Pk Circus,Parade of Shops,Middleton Park Road,,W,E0033172,Middleton,Leeds,Middleton,429826,428074,-1.54920166,53.748190322158102,BCT,MKD,TIP,active
450010018,45010018,45010018,Sharp House,Sharp House Turning Circle,Sharp Lane,,N,E0032261,Belle Isle,Leeds,Belle Isle,431662,427924,-1.521377154,53.746734290538953,BCT,MKD,TIP,active
450010019,45010019,45010019,Sharp Lane School,Sharp Lane School,Sharp Lane,opp,S,E0032261,Belle Isle,Leeds,Belle Isle,431360,428220,-1.525926381,53.749412843848390,BCT,MKD,OTH,active
450010020,45010020,45010020,Sharp Lane School,Sharp Lane School,Throstle Road,,N,E0032261,Belle Isle,Leeds,Belle Isle,431354,428255,-1.526013825,53.749727773670152,BCT,MKD,OTH,active
450010021,45010021,45010021,Broom Place,,Broom Place,,NW,E0032261,Belle Isle,Leeds,Belle Isle,431801,428901,-1.519169325,53.755506852791747,BCT,MKD,OTH,active
450010022,45010022,45010022,Lea Park Drive,,Ring Road Middleton,opp,N,E0032261,Belle Isle,Leeds,Belle Isle,431812,429409,-1.518950357,53.760071934968153,BCT,MKD,OTH,active
450010023,45010023,45010023,Middlecroft Close,,Ring Road Middleton,,S,E0032261,Belle Isle,Leeds,Belle Isle,431889,429666,-1.517756006,53.762377082267683,BCT,MKD,OTH,active
450010024,45010024,45010024,Middlecroft Close,,Ring Road Middleton,N bound,N,E0032261,Belle Isle,Leeds,Belle Isle,431870,429720,-1.518038651,53.762863575879514,BCT,MKD,OTH,active
450010025,45010025,45010025,Hunslet Cemetery,Hunslet Cemetery,Middleton Road,,N,N0077023,Hunslet Carr,Leeds,Belle Isle,431451,430255,-1.524339974,53.767697361071690,BCT,MKD,OTH,active
450010026,45010026,45010026,Woodhouse Hill Road,M621 Motorway Bridge,Middleton Road,,N,N0077023,Hunslet Carr,Leeds,Belle Isle,431484,430504,-1.523814043,53.769933309432936,BCT,MKD,OTH,active
450010027,45010027,45010027,Leasowe Road,,Pepper Road,at,N,N0077023,Hunslet Carr,Leeds,Hunslet Carr,431583,430733,-1.522288747,53.771985517549965,BCT,MKD,TIP,active
450010028,45010028,45010028,Playfair Road,,Balm Road,,N,N0077023,Hunslet Carr,Leeds,Hunslet,431041,430892,-1.530495969,53.773447024346957,BCT,MKD,OTH,active
450010029,45010029,45010029,Moor Road,South Leeds Trading Estate,Balm Road,,S,N0077023,Hunslet Carr,Leeds,Belle Isle,431018,430691,-1.530865067,53.771641863438056,BCT,MKD,OTH,active
450010030,45010030,45010030,Moor Road,South Leeds Trading Estate,Belle Isle Road,at,N,N0077023,Hunslet Carr,Leeds,Belle Isle,431006,430740,-1.531042222,53.772082972252328,BCT,MKD,OTH,active
450010031,45010031,45010031,Belle Isle Circus,Belle Isle Circus roundabout,Belle Isle Road,at,S,E0032261,Belle Isle,Leeds,Belle Isle,431169,430001,-1.528643563,53.765431372769633,BCT,MKD,OTH,active
450010032,45010032,45010032,Middleton Road,,Belle Isle Road,opp,S,E0032261,Belle Isle,Leeds,Belle Isle,431311,429159,-1.52657457,53.757855243178049,BCT,MKD,OTH,active
450010033,45010033,45010033,Lanshaw View,,Town Street,,SW,E0033172,Middleton,Leeds,Belle Isle,431081,428590,-1.53011998,53.752754949992692,BCT,MKD,OTH,active
450010034,45010034,45010034,Lanshaw View,,Town Street,,NE,E0033172,Middleton,Leeds,Belle Isle,431066,428590,-1.530347454,53.752755840946421,BCT,MKD,OTH,active
450010035,45010035,45010035,Middleton Centre B,Middleton Shopping Centre,Ring Road Middleton,,E,E0033172,Middleton,Leeds,Belle Isle,430910,428230,-1.532749073,53.749529499606787,BCT,MKD,TIP,active
450010036,45010036,45010036,Dunlin Drive,Dental Surgery,Town Street,,N,E0033172,Middleton,Leeds,Belle Isle,430998,428405,-1.531397166,53.751097145590009,BCT,MKD,OTH,active
450010037,45010037,45010037,Winrose Drive Newhall Gate,,Winrose Drive,N bound,N,E0032261,Belle Isle,Leeds,Belle Isle,430946,429083,-1.532118037,53.757193899157294,BCT,MKD,OTH,active
450010038,45010038,45010038,Winrose Drive Elmton Close,,Winrose Drive,opp,N,E0032261,Belle Isle,Leeds,Belle Isle,430931,429369,-1.532316995,53.759765272939660,BCT,MKD,OTH,active
450010039,45010039,45010039,Belle Isle Circus,Parade of Shops,Belle Isle Road,opp,N,E0032261,Belle Isle,Leeds,Belle Isle,431136,430037,-1.529140539,53.765756895992070,BCT,MKD,OTH,active
450010040,45010040,45010040,West Grange Drive,West Grange Church - M621 Motorway,Belle Isle Road,,N,N0077023,Hunslet Carr,Leeds,Belle Isle,431037,430420,-1.53060396,53.769205070448130,BCT,MKD,OTH,active
450010041,45010041,45010041,Ring Rd Middleton,,Belle Isle Road,opp,N,E0032261,Belle Isle,Leeds,Belle Isle,431331,428614,-1.526326318,53.752955742400921,BCT,MKD,OTH,active
450010042,45010042,45010042,Middleton Road,Parade of shops - Former Grey Goose PH,Belle Isle Road,,N,E0032261,Belle Isle,Leeds,Belle Isle,431297,429088,-1.526794074,53.757217953702373,BCT,MKD,OTH,active
450010043,45010043,45010043,Petersfield Avenue,Playing Fields,Belle Isle Road,N bound,N,E0032261,Belle Isle,Leeds,Belle Isle,431263,429503,-1.527267875,53.760949885765797,BCT,MKD,OTH,active
450010045,45010045,45010045,North Lingwell Road,Church,Town Street,,E,E0033172,Middleton,Leeds,Belle Isle,430269,428435,-1.542449069,53.751409460171239,BCT,MKD,OTH,active
450010046,45010046,45010046,Middleton Pk Circus,Middleton Park Circus,Middleton Park Road,,W,E0033172,Middleton,Leeds,Middleton,429891,428105,-1.548213056,53.748465233762062,BCT,MKD,TIP,active
450010047,45010047,45010047,Middleton Pk Circus,Aldi Supermarket,Middleton Park Road,,E,E0033172,Middleton,Leeds,Middleton,430003,428098,-1.546515427,53.748395910131336,BCT,MKD,TIP,active
450010048,45010048,45010048,Lingwell Road,,Ring Road Middleton,,E,E0033172,Middleton,Leeds,Middleton,430379,428108,-1.540813006,53.748464094369844,BCT,MKD,OTH,active
450010050,45010050,45010050,Middleton Park Road,,Middleton Park Road,,W,E0033172,Middleton,Leeds,Middleton,429527,428123,-1.55373084,53.748647677740685,BCT,MKD,OTH,active
450010051,45010051,45010051,Waincliffe Drive,Church,Ring Road Beeston,at,NE,E0032253,Beeston,Leeds,Beeston,428775,429733,-1.56498442,53.763159857231358,BCT,MKD,OTH,active
450010052,45010052,45010052,Tommy Wass Junction,Tommy Wass PH,Dewsbury Road,NE bound,NE,E0032253,Beeston,Leeds,Beeston,429013,429917,-1.561357029,53.764800455708162,BCT,MKD,OTH,active
450010053,45010053,45010053,Barkly Road,Parade of Shops,Dewsbury Road,,NE,E0032253,Beeston,Leeds,Beeston,429359,430155,-1.556085885,53.766920229537952,BCT,MKD,OTH,active
450010054,45010054,45010054,Cross Flatts Grove,Cross Flatts Park,Dewsbury Road,opp,NE,E0032253,Beeston,Leeds,Beeston,429540,430314,-1.553324936,53.768339086112590,BCT,MKD,TIP,active
450010055,45010055,45010055,Cross Flatts Park,Parkside Health Centre,Dewsbury Road,,NE,E0032253,Beeston,Leeds,Beeston,429759,430602,-1.549974906,53.770915133016352,BCT,MKD,TIP,active
450010056,45010056,45010056,Hunslet Fire Stn,Fire Station,Dewsbury Road,at,NE,E0032253,Beeston,Leeds,Beeston,429916,430816,-1.547572306,53.772829544943392,BCT,MKD,OTH,active
450010057,45010057,45010057,Oakley Terrace,Church,Dewsbury Road,,NE,E0032253,Beeston,Leeds,Beeston,430019,430998,-1.545991926,53.774459404466299,BCT,MKD,TIP,active
450010058,45010058,45010058,Dewsbury Road Hub,Dewsbury Road One Stop Centre,Dewsbury Road,,N,E0032254,Beeston Hill,Leeds,Beeston,430089,431488,-1.544882215,53.778859355254802,BCT,MKD,OTH,active
450010059,45010059,45010059,Hunslet Hall Road,Spinning Wheel PH,Dewsbury Road,N bound,NE,E0032254,Beeston Hill,Leeds,Beeston Hill,430127,431878,-1.544267633,53.782362368313827,BCT,MKD,OTH,active
450010062,45010062,45010062,Parkfield Street,Apex House,Parkfield Street,,E,E0032554,Crown Point,Leeds,Holbeck,430237,432153,-1.542571446,53.784827630809701,BCT,MKD,OTH,active
450010065,45010065,45010065,Hunslet Hall Road,New Bewerley School,Dewsbury Road,,S,E0032254,Beeston Hill,Leeds,Beeston Hill,430114,431651,-1.544487,53.780322910490128,BCT,MKD,OTH,active
450010066,45010066,45010066,Oakley Terrace,Church - Oakley Medical Practice,Dewsbury Road,at,SW,E0032253,Beeston,Leeds,Beeston,430022,430966,-1.54594951,53.774171625526122,BCT,MKD,TIP,active
450010067,45010067,45010067,Cross Flatts Park,Dewsbury Rd Social Club - Cross Flatts Park,Dewsbury Road,opp,SW,E0032253,Beeston,Leeds,Beeston,429701,430490,-1.550865594,53.769911806016438,BCT,MKD,TIP,active
450010068,45010068,45010068,Cross Flatts Grove,Broadway PH,Dewsbury Road,after,SW,E0032253,Beeston,Leeds,Beeston,429470,430218,-1.554396011,53.767480213538185,BCT,MKD,TIP,active
450010069,45010069,45010069,Tommy Wass Junction,Parade of Shops,Ring Road Beeston Park,S bound,SE,E0032253,Beeston,Leeds,Beeston,428972,429796,-1.561990284,53.763715211340177,BCT,MKD,OTH,active
450010070,45010070,45010070,Waincliffe Drive,Garage,Dewsbury Road,,SW,E0032253,Beeston,Leeds,Beeston,428852,429767,-1.56381326,53.763461199328944,BCT,MKD,OTH,active
