lsoa21cd,lsoa21nm,pop_tot,o65_tot,o65_health_g_vg,o65_health_fair,o65_health_b_vb
E01011264,Leeds 011A,1288,352,211,100,41
E01011265,Leeds 009A,1955,424,231,126,67
E01011266,Leeds 008A,2614,435,321,85,29
E01011267,Leeds 009B,1699,369,200,102,67
E01011268,Leeds 010A,1398,214,109,72,33
E01011269,Leeds 011B,1567,396,194,137,65
E01011270,Leeds 008B,1721,465,346,89,30
E01011271,Leeds 009C,2171,449,318,107,24
E01011272,Leeds 009D,1453,330,228,72,30
E01011273,Leeds 010B,1483,293,181,80,32
E01011274,Leeds 010C,1359,294,158,82,54
E01011275,Leeds 010D,1411,291,185,80,26
E01011276,Leeds 011C,1739,374,231,106,37
E01011277,Leeds 014A,1605,215,151,42,22
E01011278,Leeds 014B,1621,341,239,82,20
E01011279,Leeds 008C,1316,338,199,100,39
E01011280,Leeds 008D,2071,386,246,112,28
E01011281,Leeds 059A,2183,281,123,82,76
E01011282,Leeds 059B,1388,157,65,62,30
E01011283,Leeds 059C,1575,156,70,60,26
E01011284,Leeds 071A,2216,83,37,34,12
E01011286,Leeds 059D,1294,193,112,59,22
E01011287,Leeds 067B,1461,259,156,74,29
E01011292,Leeds 071B,1954,214,89,77,48
E01011293,Leeds 071C,1965,154,66,58,30
E01011294,Leeds 071D,1721,133,42,41,50
E01011295,Leeds 059E,1709,147,88,40,19
E01011296,Leeds 030A,1624,571,361,154,56
E01011297,Leeds 030B,1725,314,208,81,25
E01011298,Leeds 088A,1556,258,116,82,60
E01011299,Leeds 088B,2838,385,205,117,63
E01011300,Leeds 089A,1458,279,136,99,44
E01011301,Leeds 089B,1241,323,200,85,38
E01011302,Leeds 088C,1782,581,351,164,66
E01011303,Leeds 088D,1147,273,147,92,34
E01011304,Leeds 089C,1588,285,124,114,47
E01011305,Leeds 089D,1494,247,145,72,30
E01011306,Leeds 089E,1303,282,180,81,21
E01011307,Leeds 103A,1601,340,160,127,53
E01011308,Leeds 103B,1498,348,178,121,49
E01011309,Leeds 030C,1503,357,227,98,32
E01011310,Leeds 030D,1627,437,295,103,39
E01011311,Leeds 022A,1268,278,198,63,17
E01011312,Leeds 086A,2025,95,40,32,23
E01011313,Leeds 091A,1744,128,63,39,26
E01011314,Leeds 091B,1573,169,99,44,26
E01011315,Leeds 090A,1614,222,119,75,28
E01011316,Leeds 086B,2012,90,44,31,15
E01011317,Leeds 090B,1776,279,129,100,50
E01011318,Leeds 090C,1554,140,72,45,23
E01011319,Leeds 091C,1599,199,108,62,29
E01011320,Leeds 091D,1787,270,153,79,38
E01011321,Leeds 090D,1657,171,76,62,33
E01011322,Leeds 091E,1660,302,166,98,38
E01011323,Leeds 051A,1297,286,138,94,54
E01011324,Leeds 046A,1835,81,33,35,13
E01011325,Leeds 046B,1647,221,127,64,30
E01011326,Leeds 046C,1487,187,79,72,36
E01011327,Leeds 052A,1351,197,113,59,25
E01011328,Leeds 052B,1594,246,105,98,43
E01011329,Leeds 051B,1493,312,205,82,25
E01011330,Leeds 051C,1347,230,132,78,20
E01011331,Leeds 058A,1342,220,121,62,37
E01011332,Leeds 046D,1626,180,80,63,37
E01011333,Leeds 051D,1369,257,144,81,32
E01011334,Leeds 058B,1397,154,80,40,34
E01011335,Leeds 052C,1711,262,154,76,32
E01011336,Leeds 058C,1551,336,142,125,69
E01011337,Leeds 058D,1733,102,38,48,16
E01011338,Leeds 064A,2025,178,64,61,53
E01011339,Leeds 060A,2120,327,145,109,73
E01011340,Leeds 060B,1817,257,81,94,82
E01011341,Leeds 061A,2171,239,130,70,39
E01011342,Leeds 060C,1879,149,57,47,45
E01011343,Leeds 061B,1983,264,118,91,55
E01011344,Leeds 065A,2057,115,49,41,25
E01011345,Leeds 061C,1498,253,105,102,46
E01011346,Leeds 060D,1892,235,97,92,46
E01011347,Leeds 065B,1974,97,32,48,17
E01011348,Leeds 065C,1796,145,62,51,32
E01011349,Leeds 065D,1817,274,108,112,54
E01011350,Leeds 034A,1538,274,173,78,23
E01011351,Leeds 034B,1715,275,175,67,33
E01011352,Leeds 034C,1849,271,124,108,39
E01011353,Leeds 034D,1933,270,164,82,24
E01011354,Leeds 038A,1573,122,45,52,25
E01011355,Leeds 038B,1487,179,64,77,38
E01011356,Leeds 042A,2016,288,147,104,37
E01011357,Leeds 038C,2055,221,90,94,37
E01011358,Leeds 042B,1552,227,102,82,43
E01011359,Leeds 042C,1898,210,94,52,64
E01011360,Leeds 042D,2231,187,73,69,45
E01011361,Leeds 042E,2863,233,90,97,46
E01011362,Leeds 081A,1934,217,87,82,48
E01011363,Leeds 071E,1961,161,66,57,38
E01011364,Leeds 085A,2125,180,84,55,41
E01011366,Leeds 082A,1788,148,49,67,32
