lsoa21cd,lsao21nm,total 65+,65+ noqual,65+ level1,65+ level2,65+ level3,65+ level4,65+ other
E01011264,Leeds 011A,351,157,38,22,26,37,71
E01011265,Leeds 009A,423,132,40,41,29,112,69
E01011266,Leeds 008A,435,80,42,41,28,189,55
E01011267,Leeds 009B,370,147,44,24,26,73,56
E01011268,Leeds 010A,211,112,22,12,12,17,36
E01011269,Leeds 011B,398,198,29,22,29,62,58
E01011270,Leeds 008B,465,95,39,39,47,188,57
E01011271,Leeds 009C,450,128,31,48,42,126,75
E01011272,Leeds 009D,335,87,41,33,31,87,56
E01011273,Leeds 010B,292,112,35,20,24,50,51
E01011274,Leeds 010C,297,158,22,22,22,29,44
E01011275,Leeds 010D,288,96,23,13,27,73,56
E01011276,Leeds 011C,374,128,33,35,37,81,60
E01011277,Leeds 014A,213,80,19,14,15,54,31
E01011278,Leeds 014B,343,105,29,33,37,83,56
E01011279,Leeds 008C,337,118,32,26,24,67,70
E01011280,Leeds 008D,387,108,52,29,38,97,63
E01011281,Leeds 059A,281,138,21,15,16,51,40
E01011282,Leeds 059B,157,83,23,11,7,11,22
E01011283,Leeds 059C,156,92,8,6,10,19,21
E01011284,Leeds 071A,83,43,9,2,5,11,13
E01011286,Leeds 059D,194,85,19,19,18,25,28
E01011287,Leeds 067B,258,116,22,11,22,29,58
E01011292,Leeds 071B,214,118,16,15,8,19,38
E01011293,Leeds 071C,154,82,13,10,11,11,27
E01011294,Leeds 071D,132,86,12,8,4,7,15
E01011295,Leeds 059E,148,67,15,14,10,21,21
E01011296,Leeds 030A,571,175,56,52,54,122,112
E01011297,Leeds 030B,312,130,28,28,32,61,33
E01011298,Leeds 088A,261,140,22,13,23,28,35
E01011299,Leeds 088B,384,181,28,27,20,61,67
E01011300,Leeds 089A,277,132,13,16,15,48,53
E01011301,Leeds 089B,323,102,29,29,38,61,64
E01011302,Leeds 088C,582,245,52,38,38,83,126
E01011303,Leeds 088D,272,132,12,21,17,48,42
E01011304,Leeds 089C,285,172,26,14,13,25,35
E01011305,Leeds 089D,245,106,17,11,19,40,52
E01011306,Leeds 089E,280,111,36,18,22,43,50
E01011307,Leeds 103A,340,167,46,21,14,33,59
E01011308,Leeds 103B,348,168,20,25,23,41,71
E01011309,Leeds 030C,360,130,30,27,26,100,47
E01011310,Leeds 030D,436,119,33,26,48,150,60
E01011311,Leeds 022A,278,52,23,28,21,106,48
E01011312,Leeds 086A,93,69,8,3,3,3,7
E01011313,Leeds 091A,128,69,12,9,9,8,21
E01011314,Leeds 091B,169,78,18,13,12,19,29
E01011315,Leeds 090A,222,99,19,18,15,18,53
E01011316,Leeds 086B,91,44,4,6,3,20,14
E01011317,Leeds 090B,280,141,32,19,10,27,51
E01011318,Leeds 090C,143,87,12,12,6,10,16
E01011319,Leeds 091C,198,100,15,11,14,20,38
E01011320,Leeds 091D,272,137,15,23,17,31,49
E01011321,Leeds 090D,175,103,10,4,12,19,27
E01011322,Leeds 091E,301,150,31,18,19,29,54
E01011323,Leeds 051A,286,163,23,19,13,23,45
E01011324,Leeds 046A,84,55,4,1,5,7,12
E01011325,Leeds 046B,221,114,20,13,14,26,34
E01011326,Leeds 046C,187,106,17,9,13,15,27
E01011327,Leeds 052A,197,98,13,7,16,27,36
E01011328,Leeds 052B,244,124,17,19,16,22,46
E01011329,Leeds 051B,310,108,38,21,32,39,72
E01011330,Leeds 051C,230,101,12,15,14,34,54
E01011331,Leeds 058A,221,115,20,13,13,22,38
E01011332,Leeds 046D,179,103,11,10,9,18,28
E01011333,Leeds 051D,257,133,26,16,12,34,36
E01011334,Leeds 058B,154,85,16,5,9,16,23
E01011335,Leeds 052C,259,130,17,17,22,24,49
E01011336,Leeds 058C,337,206,25,17,11,23,55
E01011337,Leeds 058D,102,63,7,6,5,8,13
E01011338,Leeds 064A,181,97,11,20,10,15,28
E01011339,Leeds 060A,327,191,22,29,15,25,45
E01011340,Leeds 060B,254,178,10,7,8,19,32
E01011341,Leeds 061A,238,127,20,9,14,24,44
E01011342,Leeds 060C,148,93,15,6,5,12,17
E01011343,Leeds 061B,263,134,29,12,25,22,41
E01011344,Leeds 065A,113,65,4,4,6,13,21
E01011345,Leeds 061C,251,153,24,9,18,13,34
E01011346,Leeds 060D,235,138,10,14,10,24,39
E01011347,Leeds 065B,96,57,5,7,2,9,16
E01011348,Leeds 065C,144,92,8,3,1,21,19
E01011349,Leeds 065D,272,180,13,15,9,33,22
E01011350,Leeds 034A,275,76,24,21,17,98,39
E01011351,Leeds 034B,278,78,17,24,29,103,27
E01011352,Leeds 034C,272,109,15,22,14,86,26
E01011353,Leeds 034D,270,68,17,18,18,120,29
E01011354,Leeds 038A,122,64,3,11,6,20,18
E01011355,Leeds 038B,179,103,8,8,7,28,25
E01011356,Leeds 042A,287,112,28,12,16,86,33
E01011357,Leeds 038C,220,99,27,8,10,41,35
E01011358,Leeds 042B,227,115,25,11,11,40,25
E01011359,Leeds 042C,210,89,17,10,14,61,19
E01011360,Leeds 042D,187,125,15,3,10,13,21
E01011361,Leeds 042E,233,127,20,12,15,27,32
E01011362,Leeds 081A,216,121,12,9,8,24,42
E01011363,Leeds 071E,160,93,9,15,5,20,18
E01011364,Leeds 085A,180,120,15,8,8,13,16
E01011366,Leeds 082A,149,97,8,13,3,12,16
E01011368,Leeds 082C,96,47,6,13,3,12,15
E01011369,Leeds 090E,307,165,33,15,15,25,54
E01011370,Leeds 082D,221,128,27,8,9,25,24
E01011371,Leeds 085B,298,164,17,23,17,26,51
E01011372,Leeds 086C,69,44,3,4,6,5,7
E01011373,Leeds 085C,81,49,0,7,3,12,10
E01011374,Leeds 085D,90,43,7,5,4,13,18
E01011375,Leeds 086D,90,56,7,8,3,7,9
E01011376,Leeds 013A,413,110,52,37,36,105,73
E01011377,Leeds 013B,398,114,45,42,23,101,73
E01011378,Leeds 013C,236,88,22,14,31,53,28
E01011379,Leeds 017A,277,116,25,20,23,49,44
E01011380,Leeds 016A,419,88,22,31,35,182,61
E01011381,Leeds 016B,336,61,37,34,35,133,36
E01011382,Leeds 013D,366,99,47,36,37,72,75
E01011383,Leeds 019A,390,120,29,31,32,126,52
E01011384,Leeds 017B,335,105,37,21,39,78,55
E01011385,Leeds 016C,346,76,19,31,24,166,30
E01011386,Leeds 016D,307,48,16,28,19,166,30
E01011388,Leeds 019B,337,114,36,22,28,86,51
E01011390,Leeds 087A,291,138,30,16,14,37,56
E01011391,Leeds 087B,460,237,36,30,29,45,83
E01011392,Leeds 087C,426,201,30,26,40,70,59
E01011393,Leeds 103C,369,174,27,28,24,51,65
E01011394,Leeds 103D,275,122,21,21,23,42,46
E01011395,Leeds 103E,121,64,7,5,9,17,19
E01011396,Leeds 074A,334,118,30,27,37,66,56
E01011397,Leeds 077A,324,120,30,27,34,62,51
E01011398,Leeds 077B,243,82,23,19,31,57,31
E01011399,Leeds 074B,330,122,40,26,18,59,65
E01011400,Leeds 074C,325,152,31,19,27,36,60
E01011401,Leeds 077C,351,128,34,23,25,66,75
