LSOA code,Digital Propensity Score
E01011705,0.879
E01011391,0.885
E01011661,0.885
E01011264,0.886
E01011612,0.891
E01011574,0.894
E01011417,0.896
E01011510,0.896
E01011700,0.896
E01011463,0.897
E01011627,0.897
E01011292,0.899
E01011466,0.902
E01011371,0.904
E01011658,0.906
E01011582,0.907
E01011737,0.907
E01011500,0.908
E01011402,0.909
E01011420,0.909
E01011617,0.909
E01011628,0.909
E01011720,0.909
E01011728,0.910
E01011639,0.911
E01011274,0.912
E01011602,0.912
E01011717,0.912
E01011303,0.913
E01011472,0.913
E01011707,0.913
E01011731,0.913
E01011304,0.914
E01011520,0.914
E01011609,0.914
E01011686,0.914
E01011268,0.915
E01011308,0.915
E01011378,0.915
E01011407,0.915
E01011408,0.915
E01011538,0.915
E01011657,0.915
E01011704,0.915
E01011739,0.915
E01011336,0.916
E01011346,0.916
E01011489,0.916
E01011585,0.916
E01011282,0.917
E01011307,0.917
E01011331,0.917
E01011358,0.917
E01011471,0.917
E01011571,0.917
E01011578,0.917
E01011703,0.917
E01011355,0.918
E01011384,0.918
E01011632,0.918
E01011340,0.919
E01011369,0.919
E01011377,0.919
E01011390,0.919
E01011455,0.919
E01011465,0.919
E01011580,0.919
E01011616,0.919
E01011665,0.919
E01032498,0.919
E01011397,0.920
E01011470,0.920
E01011492,0.920
E01011608,0.920
E01011623,0.920
E01011269,0.921
E01011283,0.921
E01011405,0.921
E01011476,0.921
E01011531,0.921
E01011638,0.921
E01011541,0.922
E01011569,0.922
E01011581,0.922
E01011583,0.922
E01011296,0.923
E01011302,0.923
E01011339,0.923
E01011357,0.923
E01011735,0.923
E01011738,0.923
E01011265,0.924
E01011334,0.924
E01011383,0.924
E01011394,0.924
E01011425,0.924
E01011484,0.924
E01011509,0.924
E01011677,0.924
E01011721,0.924
E01011634,0.925
E01032487,0.925
E01011345,0.926
E01011362,0.926
E01011453,0.926
E01011592,0.926
E01011611,0.926
E01011709,0.926
E01011349,0.927
E01011403,0.927
E01011416,0.927
E01011461,0.927
E01011493,0.927
E01011558,0.927
E01011659,0.927
E01033035,0.927
E01011421,0.928
E01011462,0.928
E01011505,0.928
E01011629,0.928
E01011636,0.928
E01011279,0.929
E01011309,0.929
E01011333,0.929
E01011456,0.929
E01011491,0.929
E01011537,0.929
E01011548,0.929
E01011624,0.929
E01011670,0.929
E01011699,0.929
E01011332,0.930
E01011361,0.930
E01011392,0.930
E01011497,0.930
E01011560,0.930
E01011666,0.930
E01011719,0.930
E01011312,0.931
E01011379,0.931
E01011547,0.931
E01011600,0.931
E01011729,0.931
E01011286,0.932
E01011594,0.932
E01011698,0.932
E01011733,0.932
E01011300,0.933
E01011317,0.933
E01011396,0.933
E01011423,0.933
E01011477,0.933
E01011689,0.933
E01011691,0.933
E01011410,0.934
E01011468,0.934
E01011570,0.934
E01011584,0.934
E01011267,0.935
E01011323,0.935
E01011388,0.935
E01011494,0.935
E01011511,0.935
E01011519,0.935
E01011527,0.935
E01011568,0.935
E01032493,0.935
E01011382,0.936
E01011399,0.936
E01011483,0.936
