lsoa21cd,hh,hh_o65,hh_o65_nocar,hh_o65_car
E01011264,574,99,49,50
E01011265,911,171,105,66
E01011266,1140,96,27,69
E01011267,726,140,88,52
E01011268,629,88,53,35
E01011269,760,172,114,58
E01011270,680,88,15,73
E01011271,896,115,45,70
E01011272,564,66,25,41
E01011273,724,111,58,53
E01011274,668,130,90,40
E01011275,611,82,36,46
E01011276,795,127,81,46
E01011277,643,60,28,32
E01011278,736,105,39,66
E01011279,576,96,50,46
E01011280,840,82,36,46
E01011281,903,67,44,23
E01011282,618,62,49,13
E01011283,631,47,37,10
E01011284,1091,44,33,11
E01011286,582,55,29,26
E01011287,656,78,46,32
E01011292,958,121,103,18
E01011293,854,61,51,10
E01011294,493,40,28,12
E01011295,751,55,29,26
E01011296,774,155,59,96
E01011297,706,90,25,65
E01011298,700,96,51,45
E01011299,1167,102,52,50
E01011300,619,83,43,40
E01011301,556,68,31,37
E01011302,781,109,43,66
E01011303,491,83,41,42
E01011304,701,116,80,36
E01011305,652,66,26,40
E01011306,544,55,20,35
E01011307,653,72,51,21
E01011308,662,107,64,43
E01011309,662,93,29,64
E01011310,727,132,59,73
E01011311,482,39,7,32
E01011312,751,37,31,6
E01011313,651,37,27,10
E01011314,679,85,62,23
E01011315,656,63,39,24
E01011316,693,23,14,9
E01011317,884,157,120,37
E01011318,643,45,37,8
E01011319,620,52,32,20
E01011320,689,80,46,34
E01011321,665,55,39,16
E01011322,687,91,56,35
E01011323,615,120,100,20
E01011324,548,31,24,7
E01011325,750,73,47,26
E01011326,627,74,53,21
E01011327,655,64,31,33
E01011328,707,92,63,29
E01011329,694,87,49,38
E01011330,584,69,34,35
E01011331,634,84,62,22
E01011332,690,70,52,18
E01011333,638,104,69,35
E01011334,684,63,35,28
E01011335,818,87,50,37
E01011336,828,166,126,40
E01011337,570,31,23,8
E01011338,805,65,59,6
E01011339,860,119,86,33
E01011340,672,80,60,20
E01011341,872,75,52,23
E01011342,659,38,26,12
E01011343,932,86,53,33
E01011344,837,68,55,13
E01011345,673,103,82,21
E01011346,790,101,79,22
E01011347,785,38,26,12
E01011348,680,65,52,13
E01011349,926,128,103,25
E01011350,681,85,40,45
E01011351,906,110,60,50
E01011352,962,127,75,52
E01011353,846,66,31,35
E01011354,653,42,30,12
E01011355,608,75,57,18
E01011356,936,81,48,33
E01011357,908,111,89,22
E01011358,712,99,75,24
E01011359,832,57,36,21
E01011360,753,61,48,13
E01011361,1145,91,71,20
E01011362,1031,104,78,26
E01011363,862,73,55,18
E01011364,878,72,49,23
E01011366,790,81,65,16
E01011368,721,42,35,7
E01011369,740,129,90,39
E01011370,687,48,28,20
E01011371,754,128,105,23
E01011372,581,28,20,8
E01011373,593,25,17,8
E01011374,596,33,18,15
E01011375,694,30,24,6
E01011376,678,95,37,58
E01011377,606,123,58,65
E01011378,699,85,51,34
E01011379,760,111,64,47
E01011380,674,101,31,70
E01011381,562,72,28,44
E01011382,743,145,57,88
E01011383,752,150,75,75
E01011384,663,92,46,46
E01011385,536,68,24,44
E01011386,748,76,19,57
E01011388,732,127,69,58
E01011390,601,83,50,33
E01011391,718,156,81,75
E01011392,814,107,60,47
E01011393,904,109,50,59
E01011394,492,77,37,40
E01011395,466,34,11,23
E01011396,895,146,93,53
E01011397,608,76,39,37
E01011398,492,51,19,32
E01011399,624,85,47,38
E01011400,608,93,54,39
E01011401,712,90,39,51
E01011402,886,175,76,99
E01011403,670,173,92,81
E01011404,542,69,39,30
E01011405,661,130,65,65
E01011406,588,87,48,39
E01011407,661,119,68,51
E01011408,767,185,126,59
E01011409,662,68,34,34
E01011410,775,139,66,73
E01011411,732,75,35,40
E01011412,795,126,72,54
E01011413,594,66,29,37
E01011414,646,72,35,37
E01011415,736,80,42,38
E01011416,619,77,50,27
E01011417,737,163,100,63
E01011418,626,75,35,40
E01011419,495,75,20,55
E01011420,625,133,64,69
E01011421,600,87,59,28
E01011422,548,32,22,10
E01011423,607,62,39,23
E01011424,576,23,15,8
E01011425,607,79,37,42
E01011426,500,26,24,2
E01011427,580,46,36,10
E01011428,647,43,37,6
E01011429,740,62,57,5
E01011430,485,25,20,5
E01011431,832,47,40,7
E01011432,569,34,24,10
E01011433,693,28,20,8
E01011434,661,35,32,3
E01011435,605,13,12,1
E01011440,665,56,34,22
E01011441,691,27,14,13
E01011442,627,16,10,6
E01011443,714,20,17,3
E01011444,626,17,11,6
E01011445,475,3,2,1
E01011446,512,10,7,3
E01011447,431,13,7,6
E01011448,475,15,15,0
E01011449,617,18,15,3
E01011450,516,49,29,20
E01011451,523,58,40,18
E01011452,659,89,33,56
E01011453,708,115,54,61
E01011454,687,61,25,36
E01011455,477,71,21,50
E01011456,676,135,58,77
E01011457,617,83,27,56
E01011458,1020,74,24,50
E01011459,769,124,55,69
E01011460,658,71,39,32
E01011461,613,107,49,58
E01011462,728,114,68,46
E01011463,757,138,86,52
E01011464,899,79,38,41
E01011465,838,139,86,53
E01011466,638,94,63,31
E01011467,810,83,74,9
E01011468,917,84,63,21
E01011469,633,90,48,42
E01011470,599,67,47,20
E01011471,663,82,74,8
E01011472,712,102,83,19
E01011473,616,53,39,14
E01011474,653,77,57,20
E01011475,700,50,38,12
E01011476,495,78,50,28
E01011477,919,85,52,33
E01011478,805,56,38,18
E01011479,615,14,9,5
E01011480,650,57,32,25
E01011481,711,27,21,6
E01011482,871,58,43,15
E01011483,698,59,50,9
E01011484,667,67,52,15
E01011485,763,95,59,36
E01011488,703,53,33,20
E01011489,863,145,105,40
E01011491,609,46,30,16
E01011492,660,85,70,15
E01011493,664,63,42,21
E01011494,625,47,33,14
E01011496,609,41,16,25
E01011497,677,76,61,15
E01011500,686,115,60,55
E01011502,588,73,56,17
E01011504,747,78,46,32
E01011505,652,102,60,42
E01011506,524,46,27,19
E01011507,665,72,39,33
E01011508,473,39,17,22
E01011509,644,155,75,80
E01011510,836,218,148,70
E01011511,534,89,50,39
E01011512,717,93,38,55
E01011513,966,99,43,56
E01011514,647,55,18,37
E01011515,661,80,30,50
E01011516,661,66,33,33
E01011517,749,79,36,43
E01011518,1003,70,39,31
E01011519,679,85,51,34
E01011520,675,104,43,61
E01011521,996,136,59,77
E01011522,592,88,38,50
E01011523,814,126,82,44
E01011524,554,76,46,30
E01011525,699,72,42,30
E01011526,490,29,11,18
E01011527,776,119,55,64
E01011528,618,54,30,24
E01011529,585,58,27,31
E01011530,637,82,40,42
E01011531,771,168,78,90
E01011532,704,103,74,29
E01011533,753,102,62,40
E01011534,1019,94,48,46
E01011535,688,77,27,50
E01011536,703,87,41,46
E01011537,966,164,83,81
E01011538,697,110,63,47
E01011540,876,91,59,32
E01011541,1188,232,167,65
