LSOA21CD,IDAOPI 2019
E01011703,0.013
E01011455,0.014
E01011270,0.016
E01032504,0.019
E01011702,0.02
E01011554,0.021
E01011649,0.022
E01011266,0.023
E01011456,0.024
E01011461,0.024
E01011706,0.025
E01011272,0.027
E01011377,0.028
E01032491,0.029
E01011564,0.03
E01011398,0.032
E01032503,0.032
E01032876,0.032
E01011576,0.033
E01011593,0.033
E01011419,0.034
E01011563,0.034
E01011522,0.035
E01011696,0.035
E01011715,0.035
E01011562,0.037
E01011699,0.037
E01011713,0.038
E01011280,0.038
E01011452,0.039
E01011701,0.039
E01011641,0.04
E01011458,0.041
E01011311,0.042
E01011583,0.042
E01011376,0.043
E01011654,0.044
E01011306,0.045
E01011381,0.045
E01011553,0.046
E01011690,0.046
E01011464,0.047
E01011401,0.047
E01011380,0.049
E01011405,0.049
E01011420,0.049
E01011454,0.049
E01033034,0.049
E01011382,0.05
E01011584,0.05
E01011271,0.051
E01011410,0.051
E01011527,0.051
E01011296,0.052
E01011386,0.053
E01011406,0.053
E01011412,0.053
E01011549,0.053
E01011572,0.053
E01035054,0.0535
E01033015,0.054
E01011414,0.054
E01011628,0.055
E01011637,0.056
E01011301,0.057
E01011309,0.057
E01011411,0.057
E01011353,0.058
E01011453,0.059
E01011524,0.059
E01011716,0.059
E01032488,0.059
E01011302,0.06
E01011712,0.06
E01011566,0.061
E01011708,0.061
E01011567,0.062
E01011535,0.063
E01011550,0.063
E01011555,0.063
E01011630,0.063
E01011710,0.063
E01011590,0.064
E01011698,0.064
E01011638,0.065
E01011692,0.065
E01011520,0.066
E01032490,0.066
E01011413,0.067
E01011711,0.067
E01011565,0.068
E01011404,0.069
E01011561,0.069
E01011709,0.069
E01011700,0.069
E01032501,0.07
E01011278,0.071
E01011536,0.071
E01011650,0.071
E01011596,0.072
E01011605,0.072
E01011697,0.072
E01011385,0.073
E01011526,0.073
E01011570,0.073
E01032499,0.073
E01011416,0.075
E01011480,0.075
E01011264,0.076
E01011738,0.077
E01011320,0.078
E01011397,0.078
E01011728,0.079
E01011392,0.08
E01011531,0.08
E01011530,0.081
E01011707,0.081
E01011580,0.082
E01011399,0.083
E01011457,0.083
E01011603,0.083
E01011297,0.084
E01011636,0.084
E01011402,0.085
E01011310,0.085
E01011548,0.085
E01011408,0.086
E01011459,0.086
E01011587,0.086
E01011329,0.088
E01011384,0.088
E01011508,0.088
E01011727,0.088
E01011551,0.089
E01011573,0.089
E01011409,0.09
E01011415,0.09
E01011731,0.09
E01011279,0.091
E01011666,0.091
E01011521,0.092
E01011581,0.092
E01011714,0.092
E01032498,0.092
E01011694,0.093
E01011276,0.094
E01011579,0.094
